"Compound","rt","mz","240927_50MeOH_pos_P2A1_1_9665","240927_50MeOH_pos_P2A1_1_9666","240927_50MeOH_pos_P2A1_1_9667","240927_0.1mgmL_GroupMix3_IsovalericAcid_HSST3_pos_P2E4_1_9668","240927_0.1mgmL_GroupMix1_HSST3_pos_P2E2_1_9669","240927_0.1mgmL_GroupMix4_HSST3_pos_P2E5_1_9670","240927_0.1mgmL_GroupMix6_HSST3_pos_P2E7_1_9671","240927_0.1mgmL_GroupMix5_ValericAcid_HSST3_pos_P2E6_1_9672","240927_0.1mgmL_GroupMix2_ValericAcid_HSST3_pos_P2E3_1_9673","240927_0.1mgmL_FullMix_HSST3_pos_P2F1_1_9674","240927_0.1mgmL_GroupMix8_IsovalericAcid_HSST3_pos_P2E9_1_9675","240927_0.1mgmL_GroupMix7_ValericAcid_HSST3_pos_P2E8_1_9676","240927_0.1mgmL_GroupMix3_IsovalericAcid_HSST3_pos_P2E4_1_9725","240927_0.1mgmL_FullMix_HSST3_pos_P2F1_1_9726","240927_0.1mgmL_GroupMix7_ValericAcid_HSST3_pos_P2E8_1_9727","240927_0.1mgmL_GroupMix6_HSST3_pos_P2E7_1_9728","240927_0.1mgmL_GroupMix2_ValericAcid_HSST3_pos_P2E3_1_9729","240927_0.1mgmL_GroupMix4_HSST3_pos_P2E5_1_9730","240927_0.1mgmL_GroupMix8_IsovalericAcid_HSST3_pos_P2E9_1_9731","240927_0.1mgmL_GroupMix5_ValericAcid_HSST3_pos_P2E6_1_9732","240927_0.1mgmL_GroupMix1_HSST3_pos_P2E2_1_9733","240927_0.1mgmL_GroupMix5_ValericAcid_HSST3_pos_P2E6_1_9782","240927_0.1mgmL_GroupMix3_IsovalericAcid_HSST3_pos_P2E4_1_9783","240927_0.1mgmL_GroupMix7_ValericAcid_HSST3_pos_P2E8_1_9784","240927_0.1mgmL_GroupMix2_ValericAcid_HSST3_pos_P2E3_1_9785","240927_0.1mgmL_GroupMix4_HSST3_pos_P2E5_1_9786","240927_0.1mgmL_GroupMix6_HSST3_pos_P2E7_1_9787","240927_0.1mgmL_FullMix_HSST3_pos_P2F1_1_9788","240927_0.1mgmL_GroupMix1_HSST3_pos_P2E2_1_9789","240927_0.1mgmL_GroupMix8_IsovalericAcid_HSST3_pos_P2E9_1_9790"
"288.04115 Da 122.77 s",2.05,289.04843,0,0,0,3828,0,0,11672,0,0,9500,0,0,3688,10548,0,11794,0,0,0,0,0,0,4060,0,0,0,10276,9268,72,0
"238.14086 Da 123.82 s",2.06,261.13004,9036,9242,8780,11726,12224,29602,8888,11726,12638,18904,10310,11026,10318,20006,11806,9220,12756,27676,10816,11910,10386,11080,11944,9906,14606,25366,9652,19484,12388,10412
"359.23148 Da 123.84 s",2.06,360.2389,0,0,0,0,0,0,62,0,0,101780,0,40,0,112206,0,0,0,0,0,0,0,0,0,0,0,0,0,83564,0,0
"172.16808 Da 123.55 s",2.06,173.17536,0,0,58,0,50,0,0,38,64,7192,0,0,0,6978,0,0,0,0,0,0,0,0,0,96,66,0,0,5238,0,0
"45.05979 Da 122.94 s",2.05,46.06707,2788,3002,2984,2694,3376,2586,1726,0,2504,6238,8000,3024,2488,7104,2412,1278,2260,0,8286,2586,2842,3042,2740,2876,2772,2584,2404,6450,2274,8884
"545.27401 Da 123.45 s",2.06,546.28129,0,0,0,0,0,0,0,0,0,3964,26190,354,0,5794,288,84,0,0,27146,46,122,42,74,0,0,0,0,4018,170,26880
"202.00453 Da 123.35 s",2.06,203.0118,0,0,0,0,0,0,4388,176,0,4100,0,0,0,3996,0,4680,0,0,0,0,0,0,0,0,108,0,4418,2808,0,0
"248.96833 Da 123.66 s",2.06,249.97568,0,48,0,0,0,0,6176,140,70,4470,120,0,0,4814,106,6868,0,82,0,0,0,218,0,0,0,0,6462,3250,0,0
"271.98390 Da 123.70 s",2.06,272.99118,0,0,0,0,0,0,2554,0,0,1846,0,0,0,2184,1000,3136,0,0,0,0,0,32,0,0,0,0,3058,1818,0,0
"220.01500 Da 123.83 s",2.06,221.02228,0,0,0,0,0,0,5218,0,0,3908,0,0,0,4002,0,5082,0,0,0,76,0,0,0,0,0,0,4780,2594,0,0
"238.02360 Da 123.45 s",2.06,239.03087,0,0,0,0,0,0,2576,0,0,1550,0,96,0,1196,0,2314,0,0,0,0,0,0,0,0,0,0,1940,854,0,0
"432.19909 Da 123.83 s",2.06,433.20636,2624,2190,2424,1978,2840,1442,0,2150,2472,1996,2120,1940,2192,0,2062,1912,1878,2024,1694,2336,2184,1728,1874,1916,0,0,1578,0,1942,1600
"289.99349 Da 123.83 s",2.06,291.00077,0,0,0,0,0,66,2122,0,0,1666,0,0,0,1602,0,2246,0,0,0,0,0,0,0,0,0,0,1848,1318,0,0
"374.07834 Da 123.88 s",2.06,375.08561,0,0,0,52,0,0,52,0,0,4522,0,0,0,6124,250,0,0,0,0,0,0,0,0,0,0,0,150,4872,0,0
"138.01273 Da 124.06 s",2.07,70.01364,4340,3538,3644,0,3656,3004,3876,3938,3426,7576,8846,4112,10508,7256,5480,4874,4428,4544,11754,5112,5198,5680,0,4554,6122,5262,5220,7124,4984,12208
"69.00660 Da 125.04 s",2.08,70.01388,3302,3164,3406,7610,3734,0,3580,3852,3820,0,0,6064,9806,7652,4672,5018,0,4916,0,5664,4380,5348,9030,0,4696,0,4994,0,4462,0
"140.04494 Da 124.03 s",2.07,71.02975,5754,4874,5932,6998,5052,4066,5412,5588,4852,9394,0,5568,8878,8406,5484,5512,5278,5822,12536,5916,5266,5680,8854,4832,5286,5940,5422,6666,5860,12258
"226.07152 Da 124.06 s",2.07,227.0788,0,0,0,23458,0,96,0,0,0,11818,0,0,20304,15012,0,0,0,300,0,0,0,0,21500,0,0,0,0,12676,0,0
"158.05541 Da 124.81 s",2.08,80.03498,2306,0,1868,4536,2706,1360,2062,2596,2644,6974,9918,2138,4128,3818,1730,1682,1948,2060,7320,2102,1802,1802,3338,1946,1982,1622,1968,3900,1698,5690
"156.02251 Da 124.19 s",2.07,79.01853,3684,4070,4172,12410,4590,2284,4804,4010,3992,14218,14024,4150,13438,12162,0,4858,4278,4972,17730,5268,4370,4694,12008,5174,4058,5034,4578,0,4358,16908
"269.07658 Da 124.29 s",2.07,270.08386,152,0,120,0,236,0,0,1622,0,0,78,86,0,0,0,0,108,0,220,2254,100,1936,0,0,0,98,0,170,110,0
"442.23134 Da 124.38 s",2.07,443.23861,0,0,0,3508,0,0,0,0,0,5066,0,0,3534,4450,0,0,0,0,0,0,0,0,3036,0,0,50,0,4472,0,0
"241.17684 Da 124.95 s",2.08,188.15056,0,0,0,10580,0,0,0,0,0,10854,0,0,9772,11646,0,0,0,0,0,0,0,0,9302,0,0,0,0,9398,0,0
"83.95223 Da 124.93 s",2.08,84.95951,3470,3358,3510,7200,2880,2436,0,3876,3466,3950,10378,3608,6158,4372,3566,0,2820,3682,9304,4184,3128,0,7168,0,3150,3316,1734,3344,3042,9408
"204.20946 Da 125.37 s",2.09,205.21674,0,0,0,7796,0,0,0,0,0,8980,0,0,7494,8774,0,0,0,0,0,0,0,0,7004,0,0,0,0,7898,0,0
"204.17335 Da 125.52 s",2.09,205.18063,0,0,0,1588,0,0,0,0,0,3064,0,0,1442,3234,0,0,0,0,0,0,0,0,1324,0,0,0,0,2188,0,0
"174.03299 Da 124.44 s",2.07,88.02377,3568,3446,3446,11340,3962,2290,2918,3630,3512,17050,18586,3498,8132,11002,3586,2770,3764,3570,19640,3676,3644,3506,10054,3892,3096,3030,2280,6946,3046,20350
"428.19545 Da 125.00 s",2.08,429.20273,0,0,0,0,0,0,0,0,0,15572,50004,0,0,19140,294,0,0,0,52934,0,0,0,0,0,0,0,0,15880,0,52046
"204.27184 Da 125.36 s",2.09,205.27912,0,0,0,1624,0,0,0,0,0,3124,0,0,1202,2942,0,0,0,0,0,0,0,0,980,0,0,0,0,2584,0,0
"129.05780 Da 124.90 s",2.08,130.06507,354,146,308,5910,212,150,60,186,0,7706,134,196,5822,6876,0,138,0,314,0,202,146,442,6920,218,1668,166,196,6118,266,72
"187.06333 Da 125.35 s",2.09,188.071,154,72,82,814568,490,1382,1452,528,432,811104,420,346,819198,815712,0,1880,380,3166,132,524,164,370,813054,462,392,3042,1308,817354,570,146
"205.09111 Da 125.28 s",2.09,188.08602,0,240,0,347246,308,0,216,318,0,247340,0,166,345262,269794,250,270,0,0,0,226,430,0,334228,0,0,92,316,214380,246,54
"149.08625 Da 125.36 s",2.09,132.08069,0,0,0,32758,0,0,0,0,0,26192,0,0,32696,29774,0,0,0,0,0,0,0,0,33084,0,0,0,0,25580,0,0
"628.23333 Da 125.09 s",2.08,651.22385,0,0,0,12076,0,0,0,0,0,7556,0,0,12368,8106,0,0,0,0,0,0,0,0,10840,0,0,0,0,7872,0,0
"159.06809 Da 125.40 s",2.09,160.07536,0,0,0,3636,0,0,0,0,0,2752,0,0,3636,2848,0,0,60,0,0,0,0,0,3604,120,0,0,0,2444,0,0
"634.23948 Da 124.99 s",2.08,635.24675,0,0,0,3616,0,0,0,0,0,2844,0,0,3802,2570,0,0,0,0,0,0,0,0,3672,0,0,0,0,2830,0,0
"406.13136 Da 127.28 s",2.12,407.13864,0,0,0,0,0,0,232,0,0,4500,4270,0,0,0,0,0,0,0,4030,0,0,0,54,0,0,0,0,2490,0,4310
"117.05784 Da 125.31 s",2.09,118.06511,50,0,0,42098,96,0,116,88,0,34946,0,0,42416,37402,0,0,0,0,0,116,0,48,40162,0,0,0,0,30484,0,0
"229.17861 Da 126.65 s",2.11,230.18589,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
"665.18157 Da 125.31 s",2.09,666.18885,0,0,0,6262,0,0,0,0,0,3730,0,0,6754,4550,0,0,0,0,0,0,0,0,7932,0,0,0,0,3480,0,0
"409.21466 Da 126.78 s",2.11,410.22194,0,0,0,0,78,0,0,0,110,55076,56242,0,0,52608,118,0,0,0,55898,168,0,0,0,0,0,0,0,49742,44,56810
"590.41275 Da 126.61 s",2.11,296.21365,0,0,0,0,0,0,0,216,0,1282,0,848,0,1452,568,362,322,282,0,946,554,474,0,0,0,0,308,1766,626,2720
"408.17964 Da 125.15 s",2.09,409.18692,0,0,0,124472,0,0,0,0,0,78558,1242,0,124416,84192,0,0,0,0,1468,0,0,0,120448,0,0,0,0,84028,0,0
"446.12619 Da 126.24 s",2.1,447.13347,0,0,0,6486,0,0,0,0,0,2320,0,0,5228,2550,0,0,0,0,0,0,0,0,5382,0,0,0,0,2074,0,0
"204.10619 Da 125.14 s",2.09,205.11346,0,0,0,151450,46,0,0,192,0,96068,0,0,149320,103540,0,0,134,112,0,0,0,0,143174,0,0,0,0,83954,0,0
"204.08986 Da 124.94 s",2.08,205.09714,0,0,0,813054,360,674,812,426,0,810976,88,84,818962,810318,386,890,258,1108,304,0,0,0,813054,0,0,1128,648,816098,314,0
"143.07323 Da 125.36 s",2.09,144.08051,228,126,118,33048,98,180,78,174,188,23036,78,270,30890,26096,218,208,152,292,140,68,164,112,29346,244,236,118,162,21758,56,84
"145.05244 Da 125.37 s",2.09,146.05972,0,178,254,126502,190,190,0,208,0,103498,0,186,130138,107010,220,0,0,284,252,174,140,156,123854,98,222,216,344,91018,100,136
"142.06515 Da 125.48 s",2.09,143.07243,220,354,178,2888,238,172,96,208,196,2314,202,240,3878,2342,344,106,260,144,176,0,90,142,2896,276,0,126,276,2292,220,116
"114.04701 Da 125.21 s",2.09,115.05428,0,0,0,6956,0,0,0,0,0,5762,0,0,5194,5780,0,432,0,0,0,0,0,0,5934,0,0,0,0,5422,0,0
"187.26514 Da 125.25 s",2.09,188.27241,0,0,0,8466,0,0,0,0,0,8480,0,0,8724,8368,0,0,0,0,0,0,0,0,8066,0,0,0,0,7394,0,0
"406.07364 Da 127.55 s",2.13,407.08091,0,0,0,0,0,0,0,0,0,2516,2706,0,0,2380,146,98,0,0,2976,0,0,0,0,0,0,0,0,0,0,2222
"125.12045 Da 126.76 s",2.11,126.12773,0,0,0,0,0,0,0,72,0,6546,7860,0,0,7778,100,0,70,0,7086,54,136,94,0,98,0,0,54,6748,0,6810
"188.06620 Da 125.25 s",2.09,189.07347,0,562,290,414366,388,308,426,292,438,320150,70,302,406958,332962,330,296,194,430,0,340,82,394,399108,292,292,660,400,290580,316,158
"158.08411 Da 125.20 s",2.09,159.09139,120,284,0,61556,316,300,0,166,0,49900,0,148,61752,50810,80,216,324,240,0,118,0,138,61046,200,0,124,64,41056,170,0
"187.32007 Da 125.30 s",2.09,188.32734,0,0,0,7760,0,0,0,0,0,6940,0,0,7680,6938,0,0,0,0,0,0,0,0,0,0,0,0,0,6298,0,0
"407.21717 Da 126.75 s",2.11,408.22445,0,0,0,0,0,0,0,0,96,813052,812820,898,124,813020,828,490,130,0,814250,598,112,0,0,0,0,0,0,819804,1016,817150
"187.16443 Da 124.71 s",2.08,188.17171,0,0,0,4418,0,174,44,0,0,8626,7354,276,4392,8736,194,72,0,0,0,376,0,58,3972,0,0,0,0,8106,0,7636
"90.04731 Da 125.20 s",2.09,91.05459,176,0,226,8350,342,152,178,294,174,7358,514,242,8970,7616,114,262,294,220,424,188,192,140,9380,242,190,150,112,6408,232,354
"204.19633 Da 125.52 s",2.09,205.2036,0,0,0,856,0,0,0,0,0,4588,0,0,692,4776,0,66,0,0,0,0,0,0,728,0,0,0,0,3886,0,0
"231.15849 Da 125.82 s",2.1,232.16577,0,0,0,0,0,46,0,0,0,0,832,0,0,0,0,0,0,0,1036,0,0,0,0,42,0,0,0,0,0,976
"156.99528 Da 126.65 s",2.11,158.00256,8996,7354,7398,0,7288,2498,7010,8160,7300,1698,0,0,7626,2382,0,6656,7820,8140,0,7842,8204,6932,6780,8090,7198,6880,6272,1310,0,0
"203.95903 Da 126.41 s",2.11,204.96631,3748,3314,3660,3862,3772,3686,3290,3510,4348,0,0,4734,4056,0,5254,2588,4206,4344,0,4526,4462,4022,3892,4294,3870,4056,4130,380,4926,1600
"248.05289 Da 126.52 s",2.11,249.06016,0,0,0,2854,0,0,0,0,0,1722,0,0,2762,2040,0,0,0,0,0,0,0,0,3094,0,116,0,0,2048,0,0
"687.16368 Da 126.93 s",2.12,688.17096,0,0,0,2142,0,0,0,0,0,422,0,0,2206,686,0,0,0,0,0,0,0,0,2174,0,0,0,0,464,0,0
"406.21351 Da 126.99 s",2.12,407.22079,202,0,0,0,0,0,320,0,264,813054,817150,4234,216,815102,3750,940,594,0,821246,3470,408,132,178,0,392,0,0,821246,3698,821246
"834.37162 Da 127.36 s",2.12,835.37889,0,0,0,0,0,0,0,0,0,2788,2730,0,0,3724,0,0,0,0,2284,0,0,0,0,0,0,0,0,2720,0,2764
"220.08417 Da 127.38 s",2.12,221.09145,0,0,0,1612,0,0,0,0,0,1224,0,0,2466,1110,0,0,0,0,0,0,0,0,2220,102,0,0,0,1080,0,0
"226.07225 Da 129.11 s",2.15,227.07952,0,0,0,23084,0,0,0,294,0,6288,0,9944,22606,9094,12526,0,0,372,0,0,0,0,21192,11592,0,0,536,6792,0,0
"834.40936 Da 127.41 s",2.12,835.41663,0,0,0,0,0,0,0,0,0,284252,221316,0,0,286638,0,0,0,0,229540,0,0,0,0,0,0,0,0,278582,0,213530
"850.38343 Da 127.51 s",2.13,851.39071,0,0,0,0,0,0,0,0,0,8438,5420,0,0,7494,0,0,0,0,4740,0,0,0,0,0,0,0,0,7228,0,4510
"54.01242 Da 128.09 s",2.13,55.0197,0,0,0,0,648,292,3448,0,0,2690,406,0,0,2806,0,3336,0,686,0,0,0,378,0,0,550,0,2480,2364,0,0
"344.14469 Da 127.66 s",2.13,345.15197,254,250,154,1190,730,716,548,424,540,490,0,402,1042,708,386,550,584,654,342,534,668,582,1330,358,660,534,510,490,604,68
"114.03178 Da 128.93 s",2.15,115.03906,106,60,176,0,130,794,0,0,104,18834,196,0,0,16228,0,1444,0,2328,122,198,100,0,108,160,160,2346,0,13584,0,242
"192.00365 Da 127.76 s",2.13,97.0091,1150,1614,0,1522,984,0,0,0,0,1306,4208,940,1272,1314,1070,942,1050,892,3174,0,0,908,1098,942,1090,0,898,0,0,2342
"97.50477 Da 127.88 s",2.13,98.51204,1326,1624,1116,2276,0,960,1314,1124,1326,1716,4916,1380,1530,1146,1138,942,1174,1332,3478,1158,1034,866,1734,926,1090,918,0,984,1408,3388
"430.16099 Da 127.96 s",2.13,431.16827,0,0,0,4004,0,0,0,0,0,1814,0,0,3982,314,0,0,0,0,0,0,0,0,3918,0,0,0,0,1876,0,0
"139.06044 Da 128.28 s",2.14,140.06772,0,17428,0,16978,16690,14072,20972,0,16666,0,0,17668,0,0,18130,20962,0,24018,0,0,16804,12882,0,17240,20272,24630,20222,0,0,0
"137.04756 Da 129.75 s",2.16,138.05554,158,100,102,130,144,374,174,276,242,1385328,890,1099864,458,1394326,1131466,1272,0,1562,0,902,0,0,226,1109694,894,1548,582,1337824,1088,760
"282.16702 Da 130.99 s",2.18,305.15621,8356,9312,9352,14716,9720,17210,9750,11570,12072,22936,8400,12344,16376,21948,9052,10062,11752,10326,9216,11054,10054,10150,13982,9934,10434,11346,8050,21108,10328,7840
"764.50285 Da 129.58 s",2.16,383.25874,0,0,0,0,0,0,0,0,0,40326,88396,0,0,38482,0,0,0,0,86916,708,0,0,0,0,0,0,0,40158,0,87944
"406.21339 Da 129.63 s",2.16,429.20224,0,0,0,0,0,0,0,0,0,170364,49162,418,0,170968,460,0,0,0,52550,214,0,0,0,0,0,0,0,176306,212,49710
"464.05438 Da 129.96 s",2.17,465.06165,0,0,0,0,0,0,0,0,0,13244,0,33186,0,13660,34048,0,0,0,0,0,0,48,0,35646,0,0,0,14286,0,0
"174.05274 Da 130.52 s",2.18,175.05973,126,122,38,0,124,6406,72,362,0,24214,0,0,0,24122,148,0,94,19446,0,328,0,0,0,0,0,18006,0,20378,0,134
"94.04235 Da 129.57 s",2.16,77.03917,0,114,0,76,70,0,0,104,0,13344,136,19572,268,13826,18820,0,0,0,0,0,0,0,0,17804,74,126,0,12308,118,0
"467.10046 Da 129.87 s",2.16,450.09728,0,0,0,0,0,0,0,0,0,2604,0,6788,0,3528,8394,0,0,0,0,0,52,60,0,8456,0,0,0,3632,0,0
"376.06037 Da 129.85 s",2.16,359.05479,0,0,88,0,0,0,0,0,0,2986,0,7140,0,3384,8618,0,0,0,0,0,0,0,0,9070,0,0,0,3604,0,0
"330.05286 Da 129.73 s",2.16,331.0594,0,0,0,0,0,0,0,0,0,2812,0,6758,0,2404,6456,0,0,0,0,0,0,0,0,6512,0,0,108,3732,0,0
"286.07954 Da 129.77 s",2.16,287.08725,0,0,70,0,0,2858,0,0,0,2846,66,0,0,2904,0,0,0,8336,0,0,0,0,0,38,0,8660,0,2432,0,0
"345.01708 Da 129.92 s",2.17,346.02409,62,0,0,128,0,0,108,0,0,3370,0,6228,0,2920,5956,0,0,0,0,0,0,0,0,5766,0,0,0,3284,0,0
"155.05782 Da 129.73 s",2.16,156.0651,0,0,0,0,0,0,152,0,116,4238,0,6284,122,2890,4072,0,0,0,0,0,84,0,0,4570,0,0,0,3002,0,0
"181.01117 Da 129.65 s",2.16,182.01845,0,0,0,0,0,0,0,0,0,802,0,11760,0,0,11970,0,0,0,0,0,0,0,0,12536,0,0,0,752,0,0
"228.08847 Da 129.71 s",2.16,229.09575,88,0,260,240,0,0,172,0,258,1378,138,2240,0,1350,2316,158,210,282,0,0,0,0,0,2846,0,0,0,1768,0,0
"348.06293 Da 129.57 s",2.16,349.0702,0,0,0,0,0,0,0,0,0,1926,0,5956,0,1660,4710,0,0,0,0,0,0,0,0,4492,0,0,0,1478,0,0
"451.12267 Da 129.88 s",2.16,452.12995,0,0,0,0,0,0,0,0,0,1878,0,3744,62,1658,4046,0,0,0,0,0,0,0,0,3720,0,0,0,1208,0,0
"342.06987 Da 129.23 s",2.15,343.07714,0,0,0,0,0,0,0,222,0,1388,0,2522,0,1662,3010,0,0,0,0,186,0,0,0,3264,0,0,0,944,0,0
"220.99966 Da 129.78 s",2.16,222.00694,0,0,0,0,0,0,0,0,0,2276,0,5694,78,3030,5720,0,0,0,0,0,0,0,0,5938,0,0,0,2698,0,0
"433.11204 Da 129.64 s",2.16,434.11931,40,0,0,0,0,0,0,0,0,1098,0,2800,0,1342,2810,0,0,0,0,0,0,0,0,3072,0,0,0,1278,0,0
"360.08034 Da 129.37 s",2.16,361.08762,0,0,0,0,0,0,0,0,0,1198,58,3260,56,1704,2752,70,0,0,0,0,0,0,0,2896,0,0,0,946,0,0
"328.01324 Da 129.80 s",2.16,329.02051,0,0,0,0,0,0,0,0,0,1860,0,2770,0,1914,2826,0,0,222,0,0,0,0,0,3270,0,0,0,1712,0,78
"346.02361 Da 129.73 s",2.16,347.03088,0,0,0,66,0,0,0,0,0,1544,0,3802,0,1382,3118,130,0,212,0,0,0,0,0,2682,0,0,0,1386,0,0
"239.00991 Da 129.58 s",2.16,240.01719,0,0,0,0,0,0,0,0,0,2240,0,4620,0,1950,4448,0,0,0,0,0,0,0,0,4422,0,0,0,1668,0,0
"198.00907 Da 130.95 s",2.18,100.01181,1824,1890,2090,1450,1722,1630,2148,1706,1754,2242,6456,1484,1360,1704,1274,1492,1508,1786,4328,1382,1520,1486,1284,0,1156,1472,1300,1334,1138,3496
"64.03207 Da 129.73 s",2.16,65.03935,0,0,0,174,0,0,0,0,0,1796,0,2226,0,1902,2624,0,0,0,0,0,0,0,94,2328,0,0,82,1450,0,0
"462.05944 Da 129.30 s",2.16,463.06672,0,0,0,0,0,0,182,0,0,924,0,2104,0,868,2352,0,0,0,0,0,0,0,0,2486,0,0,0,718,0,0
"104.03778 Da 129.84 s",2.16,105.04506,0,0,0,0,0,0,0,0,0,4810,0,3528,0,4106,3232,0,0,168,0,0,0,0,0,2980,0,0,0,3064,100,0
"91.04246 Da 129.73 s",2.16,92.04973,140,86,236,206,0,0,0,120,0,3678,586,4184,268,4444,4682,202,274,0,338,104,154,0,298,4850,0,0,0,3198,114,0
"92.05034 Da 129.83 s",2.16,93.05762,0,0,0,0,0,0,0,0,0,14170,82,12620,0,13302,11956,0,42,0,0,0,0,0,0,12306,0,0,0,10148,0,0
"392.19819 Da 129.08 s",2.15,393.20547,128,60,0,0,0,0,118,0,0,67458,104516,0,0,66264,180,0,76,0,105564,252,86,0,0,0,76,0,0,63904,86,99350
"95.00175 Da 129.20 s",2.15,96.00902,0,844,882,1372,0,674,700,818,0,1530,3006,0,1284,976,0,0,0,0,3074,0,0,0,806,0,0,0,0,818,0,2288
"140.04534 Da 129.33 s",2.16,71.02995,4890,4604,4284,8894,5182,2244,5242,5680,4886,0,10512,7220,9394,1938,8138,5128,5566,5372,12068,5740,5220,5604,10370,8334,4958,5994,5184,1850,5094,0
"137.13447 Da 129.75 s",2.16,138.14174,0,0,0,0,78,0,0,0,0,8666,70,1328,0,7802,1072,0,0,0,0,0,0,0,40,860,0,0,0,7716,0,0
"171.99404 Da 130.41 s",2.17,87.0043,1518,1364,2676,0,1396,680,1422,1406,1356,1534,7470,0,0,3000,2218,976,1446,1332,5134,1062,1180,1168,3414,2078,1180,1654,1098,1246,1018,4498
"414.17979 Da 129.84 s",2.16,415.18706,0,0,0,0,0,0,0,0,0,3212,2462,0,0,3616,0,0,0,102,2410,0,0,0,0,0,0,0,56,3016,0,1978
"174.99222 Da 128.54 s",2.14,88.50339,1292,0,1380,3188,0,0,0,1450,0,1234,0,1436,2532,2524,2000,1006,0,1064,4046,0,0,0,2214,0,0,0,0,998,0,3528
"554.02403 Da 129.40 s",2.16,555.0313,0,0,0,0,0,0,0,0,0,498,0,9174,0,430,9018,0,0,0,0,0,0,0,0,8478,0,0,0,210,0,0
"180.94301 Da 129.79 s",2.16,181.95028,1216,1480,1400,0,1108,0,1344,1834,1760,0,0,1500,0,0,1584,1338,1898,1890,1456,1626,1632,1482,0,0,1346,1362,1248,256,1622,1418
"137.11533 Da 129.62 s",2.16,138.12261,0,0,124,0,0,62,0,110,82,13072,0,10200,0,12938,9764,0,0,0,0,264,58,140,0,10402,64,42,116,12532,102,0
"138.06433 Da 129.72 s",2.16,139.07161,272,0,324,0,340,230,0,472,470,4920,228,4098,162,4378,0,276,158,386,0,334,120,568,226,4066,332,378,146,3338,296,222
"137.14607 Da 129.57 s",2.16,138.15335,0,0,0,0,0,0,0,0,0,17204,0,13056,0,16994,12996,0,0,0,0,0,0,0,0,12676,0,0,0,15030,0,0
"174.03263 Da 130.17 s",2.17,88.02359,4258,3410,4028,12230,3888,2106,4244,4040,3814,11948,23938,7168,10962,4184,6792,3262,3688,3738,19424,3738,3602,3138,9464,6466,3210,3022,3032,3810,3556,20478
"83.95258 Da 128.96 s",2.15,84.95986,3292,3466,3234,7876,3490,1676,2916,3444,3126,3224,10616,4974,0,3562,5716,2916,2852,3170,10948,3516,3228,2912,7544,4762,2896,3182,3132,5544,2878,10960
"137.15706 Da 129.59 s",2.16,138.16434,0,0,0,0,0,0,0,0,0,16150,0,12646,0,15722,0,0,0,0,0,0,0,0,0,12284,0,0,0,0,0,0
"119.04931 Da 129.53 s",2.16,120.05659,0,0,138,0,108,0,0,0,54,5128,0,4240,0,6976,5578,0,0,0,0,0,0,0,0,5618,0,0,0,3544,0,0
"240.19419 Da 131.00 s",2.18,241.20147,0,0,0,0,0,0,0,0,0,0,2390,0,0,0,0,0,0,0,2666,0,0,0,0,0,0,0,0,0,0,2508
"89.96966 Da 129.80 s",2.16,90.97694,0,0,0,124,0,0,0,0,0,150,0,2634,0,0,2300,0,0,0,0,0,0,0,270,2314,0,0,68,410,0,532
"87.49695 Da 131.16 s",2.19,88.50423,1556,1118,0,2878,1070,0,1046,1398,1174,3012,5286,2118,0,1856,0,1112,1064,1056,3272,1246,990,1114,0,1388,888,972,804,0,1380,3848
"820.39399 Da 129.09 s",2.15,821.40127,0,0,0,0,0,0,0,0,0,6872,4842,0,0,6014,0,0,0,0,4952,0,0,0,0,0,0,0,0,6478,0,4964
"505.13109 Da 128.41 s",2.14,506.13837,0,0,0,0,0,0,0,0,0,758,4990,0,0,854,0,0,0,0,5648,0,0,0,0,0,0,0,0,682,0,5228
"192.04355 Da 129.07 s",2.15,97.02905,1284,1356,1248,3194,1420,1222,1040,1200,1452,3420,7992,1292,1756,2330,956,1266,1278,1508,6476,1260,1078,1098,1812,984,1142,1062,1050,1704,1172,0
"163.06084 Da 129.83 s",2.16,82.5377,1200,1372,1426,4112,1162,0,1146,1164,1262,2934,3720,2746,3440,1170,2434,1136,1212,1366,4708,1494,1370,1228,3680,1900,1290,1330,1142,2622,1354,4298
"173.99332 Da 129.71 s",2.16,88.00394,0,0,0,1788,0,0,570,0,930,2040,2612,0,1300,1690,1434,816,882,758,2422,764,0,0,1926,796,0,688,0,1592,0,2668
"156.02142 Da 128.61 s",2.14,79.01798,4282,3956,3718,11464,4264,1954,4262,4136,3778,3516,13952,7698,14568,4134,9308,4326,4334,5352,0,5364,4848,5040,13970,8830,4298,4900,4658,4098,4238,17300
"406.23612 Da 130.26 s",2.17,407.2434,0,0,0,0,0,0,0,0,0,91358,86612,0,0,94812,0,0,0,0,110592,0,0,0,0,0,0,0,0,103482,0,94882
"93.05813 Da 129.74 s",2.16,94.0654,0,0,0,548,0,0,264,356,294,389040,404,415962,290,432830,425198,0,0,282,570,0,0,0,294,429978,0,0,168,280062,424,392
"138.05071 Da 129.62 s",2.16,139.05798,0,0,0,0,0,294,0,314,0,284418,0,343446,0,281472,332742,224,0,298,236,260,0,0,0,345108,0,128,0,260932,318,102
"496.18302 Da 130.47 s",2.17,497.19029,0,0,0,0,0,0,0,40,0,7306,2000,74,0,6804,54,0,0,0,2244,0,0,0,0,0,0,0,0,7254,0,2022
